sk_tiempo,sk_evento,distinct_id,cantidad_eventos
939,6,019e9d5c-24d6-7933-8959-24cfc11c3652,1
939,6,019e9eeb-e67f-7332-8d2d-7e39a73cf3d3,1
939,6,019e9f03-15b8-7179-93bc-7c3685f37a05,1
939,6,1429,1
939,6,1672,1
939,6,2025,2
939,6,2080,1
939,6,2443,7
939,6,2456,1
939,6,2728,1
939,6,2900,1
939,6,2907,2
939,6,2914,3
939,6,3216,1
939,6,3282,1
939,6,3457,1
939,6,3462,1
939,6,3629,1
939,6,3636,5
939,6,3864,3
939,6,3874,1
939,6,4042,4
939,6,4048,2
939,6,4099,8
939,6,4425,1
939,6,4564,1
939,6,4617,1
939,6,4637,7
939,6,4945,7
939,6,5101,1
939,6,5118,2
939,6,5147,7
939,6,5165,1
939,6,5171,7
939,6,5209,2
939,6,5246,1
939,6,5254,1
939,6,5261,3
939,6,5291,1
939,6,5301,1
939,6,5335,10
939,6,5353,2
939,6,5382,2
939,6,5495,2
939,6,5554,1
939,6,5556,2
939,4,019b9f62-b945-7de0-800b-d28e97f2c20e,2
939,4,019bbaaf-2a30-7ad6-9072-56fa20fa79ee,1
939,4,019bbab0-eb03-7db8-8381-112e1557f42f,1
939,4,019d1d4b-80af-7605-99ef-9235d3228d50,1
939,4,019e554c-2415-7586-9a66-2236fb11535d,2
939,4,019e9d5c-24d6-7933-8959-24cfc11c3652,2
939,4,019e9e25-05c2-74d1-b5ab-2503c0061713,1
939,4,019e9e8a-3cba-7e60-bbde-a033e3a71a2a,1
939,4,019e9eeb-e67f-7332-8d2d-7e39a73cf3d3,2
939,4,019e9f03-15b8-7179-93bc-7c3685f37a05,1
939,4,1045,4
939,4,1087,4
939,4,1124,2
939,4,1165,4
939,4,1401,1
939,4,1429,4
939,4,2025,17
939,4,2080,4
939,4,2179,18
939,4,2443,52
939,4,2456,19
939,4,2728,4
939,4,2907,1
939,4,3216,1
939,4,3282,1
939,4,3457,4
939,4,3462,1
939,4,3601,9
939,4,3629,1
939,4,3636,3
939,4,3864,21
939,4,3874,7
939,4,4042,34
939,4,4048,2
939,4,4099,34
939,4,4219,1
939,4,4297,3
939,4,4425,22
939,4,4637,49
939,4,4945,153
939,4,5101,8
939,4,5147,10
939,4,5156,1
939,4,5171,25
939,4,5209,34
939,4,5246,27
939,4,5261,20
939,4,5301,64
939,4,5335,13
939,4,5353,5
939,4,5471,10
939,4,5495,7
939,4,5556,5
939,23,019b9f62-b945-7de0-800b-d28e97f2c20e,1
939,23,2443,3
939,23,3462,1
939,23,4042,5
939,23,4637,1
939,23,4945,2
939,23,5209,1
939,23,5246,1
939,23,5301,2
939,23,5335,1
939,5,1087,2
939,5,1124,1
939,5,1165,1
939,5,1401,1
939,5,1429,1
939,5,2025,2
939,5,2080,1
939,5,2443,6
939,5,2456,1
939,5,3216,1
939,5,3457,1
939,5,3462,1
939,5,3629,1
939,5,3636,2
939,5,3864,4
939,5,3874,1
939,5,4042,5
939,5,4048,2
939,5,4099,5
939,5,4219,1
939,5,4637,6
939,5,4945,5
939,5,5101,1
939,5,5147,6
939,5,5156,1
939,5,5171,6
939,5,5209,2
939,5,5261,3
939,5,5335,9
