sk_cliente,sk_pais,sk_estado_cliente,sk_tiempo_cliente_desde,mrr,arr,cantidad_cliente,flag_cliente_pago,flag_activo,flag_cancelado,flag_past_due,riesgo_churn
304,3.0,1,827.0,0.0,0.0,1,0,0,1,0,Churned
305,3.0,2,833.0,50000.0,600000.0,1,1,1,0,0,Bajo
306,7.0,3,836.0,90000.0,1080000.0,1,1,0,0,1,Alto
307,3.0,1,836.0,0.0,0.0,1,0,0,1,0,Churned
308,2.0,1,839.0,0.0,0.0,1,0,0,1,0,Churned
309,1.0,1,840.0,0.0,0.0,1,0,0,1,0,Churned
310,7.0,3,840.0,45000.0,540000.0,1,1,0,0,1,Alto
311,3.0,2,840.0,40000.0,480000.0,1,1,1,0,0,Bajo
312,1.0,2,843.0,35000.0,420000.0,1,1,1,0,0,Bajo
313,1.0,2,845.0,40000.0,480000.0,1,1,1,0,0,Bajo
314,11.0,3,847.0,50000.0,600000.0,1,1,0,0,1,Alto
315,3.0,2,852.0,45000.0,540000.0,1,1,1,0,0,Bajo
316,3.0,2,854.0,60000.0,720000.0,1,1,1,0,0,Bajo
317,1.0,2,856.0,45000.0,540000.0,1,1,1,0,0,Bajo
318,3.0,1,859.0,0.0,0.0,1,0,0,1,0,Churned
319,7.0,2,861.0,40000.0,480000.0,1,1,1,0,0,Bajo
320,3.0,2,861.0,50000.0,600000.0,1,1,1,0,0,Bajo
321,4.0,2,868.0,37500.0,450000.0,1,1,1,0,0,Bajo
322,3.0,2,868.0,45000.0,540000.0,1,1,1,0,0,Bajo
323,3.0,2,871.0,40000.0,480000.0,1,1,1,0,0,Bajo
324,3.0,2,871.0,45000.0,540000.0,1,1,1,0,0,Bajo
325,1.0,2,872.0,33333.0,399996.0,1,1,1,0,0,Bajo
326,3.0,1,874.0,0.0,0.0,1,0,0,1,0,Churned
327,3.0,2,880.0,50000.0,600000.0,1,1,1,0,0,Bajo
328,3.0,2,883.0,37500.0,450000.0,1,1,1,0,0,Bajo
329,1.0,2,887.0,40000.0,480000.0,1,1,1,0,0,Bajo
330,11.0,2,888.0,41667.0,500004.0,1,1,1,0,0,Bajo
331,4.0,2,892.0,40000.0,480000.0,1,1,1,0,0,Bajo
332,3.0,2,892.0,40000.0,480000.0,1,1,1,0,0,Bajo
333,1.0,2,892.0,45000.0,540000.0,1,1,1,0,0,Bajo
334,7.0,1,899.0,0.0,0.0,1,0,0,1,0,Churned
335,3.0,2,901.0,50000.0,600000.0,1,1,1,0,0,Bajo
336,3.0,2,901.0,45000.0,540000.0,1,1,1,0,0,Bajo
337,1.0,3,902.0,40000.0,480000.0,1,1,0,0,1,Alto
338,3.0,2,902.0,67500.0,810000.0,1,1,1,0,0,Bajo
339,1.0,2,902.0,50000.0,600000.0,1,1,1,0,0,Bajo
340,4.0,2,903.0,40000.0,480000.0,1,1,1,0,0,Bajo
341,8.0,2,903.0,50000.0,600000.0,1,1,1,0,0,Bajo
342,3.0,2,907.0,40000.0,480000.0,1,1,1,0,0,Bajo
343,3.0,1,909.0,0.0,0.0,1,0,0,1,0,Churned
344,7.0,2,910.0,45833.0,549996.0,1,1,1,0,0,Bajo
345,3.0,2,914.0,45000.0,540000.0,1,1,1,0,0,Bajo
346,8.0,2,922.0,45000.0,540000.0,1,1,1,0,0,Bajo
347,1.0,2,924.0,50000.0,600000.0,1,1,1,0,0,Bajo
348,7.0,2,927.0,50000.0,600000.0,1,1,1,0,0,Bajo
349,3.0,2,931.0,45000.0,540000.0,1,1,1,0,0,Bajo
350,1.0,2,931.0,45000.0,540000.0,1,1,1,0,0,Bajo
351,1.0,2,936.0,45000.0,540000.0,1,1,1,0,0,Bajo
352,1.0,4,,0.0,0.0,1,0,0,0,0,No aplica
353,1.0,4,,0.0,0.0,1,0,0,0,0,No aplica
354,1.0,4,,0.0,0.0,1,0,0,0,0,No aplica
355,1.0,4,,0.0,0.0,1,0,0,0,0,No aplica
356,1.0,4,,0.0,0.0,1,0,0,0,0,No aplica
357,1.0,4,,0.0,0.0,1,0,0,0,0,No aplica
358,1.0,4,,0.0,0.0,1,0,0,0,0,No aplica
359,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
360,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
361,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
362,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
363,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
364,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
365,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
366,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
367,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
368,4.0,4,,0.0,0.0,1,0,0,0,0,No aplica
369,4.0,4,,0.0,0.0,1,0,0,0,0,No aplica
370,4.0,4,,0.0,0.0,1,0,0,0,0,No aplica
371,4.0,4,,0.0,0.0,1,0,0,0,0,No aplica
372,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
373,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
374,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
375,1.0,4,,0.0,0.0,1,0,0,0,0,No aplica
376,1.0,4,,0.0,0.0,1,0,0,0,0,No aplica
377,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
378,7.0,4,,0.0,0.0,1,0,0,0,0,No aplica
379,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
380,4.0,4,,0.0,0.0,1,0,0,0,0,No aplica
381,6.0,4,,0.0,0.0,1,0,0,0,0,No aplica
382,1.0,4,,0.0,0.0,1,0,0,0,0,No aplica
383,3.0,4,,0.0,0.0,1,0,0,0,0,No aplica
384,8.0,4,,0.0,0.0,1,0,0,0,0,No aplica
