name,label,type,fieldType
hs_v2_time_in_current_stage,Time in current stage,datetime,calculation_equation
hs_was_imported,Performed in an import,bool,booleancheckbox
hubspot_owner_assigneddate,Owner assigned date,datetime,date
hubspot_owner_id,Company owner,enumeration,select
hubspot_team_id,HubSpot Team,enumeration,select
hubspotscore,HubSpot Score,number,number
industry,Industry,enumeration,select
is_public,Is Public,bool,booleancheckbox
kickoff_date,Kickoff Date,datetime,date
lifecyclestage,Lifecycle Stage,enumeration,radio
linkedin_company_page,LinkedIn Company Page,string,text
linkedinbio,LinkedIn Bio,string,text
mawi_first_payment_failure_date,Mawi first payment failure date,date,date
mawi_internal_id,Mawi Internal ID,number,number
mawi_invoice_payment_link,Mawi invoice payment link,string,text
mawi_payment_failure_date,Mawi payment failure date,date,date
mawi_payment_status,Mawi payment status,string,text
mawi_stripe_mrr,Stripe MRR,number,number
mawi_suspended_at_date,Mawi suspended at date,date,date
name,Company name,string,text
notes_last_contacted,Last Contacted,datetime,date
notes_last_updated,Last Activity Date,datetime,date
notes_next_activity_date,Next Activity Date,datetime,date
num_associated_contacts,Number of Associated Contacts,number,calculation_rollup
num_associated_deals,Number of Associated Deals,number,calculation_rollup
num_contacted_notes,Number of times contacted,number,number
num_conversion_events,Number of Form Submissions,number,number
num_conversion_events_cardinality_sum_d095f14b,num_conversion_events_cardinality_sum_d095f14b,number,text
num_notes,Number of Sales Activities,number,number
numberofemployees,Number of Employees,number,number
onboarding_completed,Onboarding Completed,datetime,date
owneremail,HubSpot Owner Email,string,text
ownername,HubSpot Owner Name,string,text
phone,Phone Number,string,phonenumber
rb2b_captured_at,RB2B Captured At,date,date
rb2b_captured_url,RB2B Captured URL,string,text
rb2b_source,RB2B Source,bool,booleancheckbox
recent_conversion_date,Recent Conversion Date,datetime,date
recent_conversion_date_timestamp_latest_value_72856da1,recent_conversion_date_timestamp_latest_value_72856da1,datetime,text
recent_conversion_event_name,Recent Conversion,string,text
recent_conversion_event_name_timestamp_latest_value_66c820bf,recent_conversion_event_name_timestamp_latest_value_66c820bf,datetime,text
recent_deal_amount,Recent Deal Amount,number,number
recent_deal_close_date,Recent Deal Close Date,datetime,date
segment_group_id,Segment Group ID,string,text
segmentacion_cs,Segmentación CS,enumeration,select
state,State/Region,string,text
stripe_customer_id,Stripe customer ID,string,text
stripe_next_payment_date,Stripe next payment date,date,date
stripe_payment_interval,Stripe payment interval,string,text
stripe_subscription_status,Stripe subscription status,enumeration,select
timezone,Time Zone,string,text
total_money_raised,Total Money Raised,string,text
total_revenue,Total Revenue,number,calculation_rollup
twitterbio,Twitter Bio,string,text
twitterfollowers,Twitter Followers,number,number
twitterhandle,Twitter Handle,string,text
type,Type,enumeration,radio
vendedor,Vendedor,string,text
web_technologies,Web Technologies,enumeration,checkbox
website,Website URL,string,text
zip,Postal Code,string,text
